creation_date,accession_number,artist,credit_line,display_title,display_dimensions,medium,media_support,facility,current_location,location_description,street_address_or_intersection,zip_code,latitude,longitude,number_of_districts,cultural_districts,supervisor_district,the_geom,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,Neighborhoods
,1986.2,"Acconci, Vito",Purchased by the San Francisco Art Commission for the San Francisco International Airport,Two Wings for Wall and Person,"26 1/2"" H X 41"" W",Intaglio relief etching,Intaglio relief etching on white wove paper,Terminal 3,SFO,"Terminal 3, BA/F-G : Arrivals",,94128,37.620430000000056,-122.39916499999998,0,,,POINT (-122.39916499999998 37.620430000000056),,,,,
1983,1986.1,"Katano, Marc",Purchased by the San Francisco Art Commission for the San Francisco International Airport,Greeting a Totem,"86""H x 78"" W",Oil,Oil on canvas,Terminal 2,SFO,"BA/D : Departures : Ticketing Lobby, Level 2",,94128,37.620430000000056,-122.39916499999998,0,,,POINT (-122.39916499999998 37.620430000000056),,,,,
1930s,1942.5,"Bufano, Beniamino",Collection of the City and County of San Francisco; Completed for the City of San Francisco under the Works Progress Administration,Bear and Cubs,73  x 40 1/2  x 45 in.,Cast granite,Cast granite on concrete,Valencia Gardens Apartments,Public Display,Southeast Courtyard,390 Valencia Street,94103,37.766650011000024,-122.42228999799993,1,American Indian Cultural District,08,POINT (-122.42228999799993 37.766650011000024),37,3,5,20,37
2003-07-26T00:00:00.000,2005.11.i,"Rodriguez, Isis",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Parque Ninos Unidos,Los Ninos del Sol,20 x 37 in.,Glazed ceramic tile,Glazed ceramic tile on cement,Parque Ninos Unidos,Public Display,Treat St. Entrance;  triangular park on 23rd St. between Treat Avenue and Folsom St.,3090 23rd Street,94110,37.75421678500004,-122.41370395699995,1,Calle 24 Latino Cultural District,09,POINT (-122.41370395699995 37.75421678500004),53,3,2,20,53
2005,2006.5.k,"Saulls, Vicki",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commision for the Eureka Valley Recreation Center,From the Heart Outwards,10 x 10 x 3 1/2 in.,Cold-cast bronze and zinc/aluminum,Cold-cast bronze and zinc/aluminum,Eureka Valley Recreation Center,Public Display,Interior Lobby,100 Collingwood Street,94114,37.76048000800006,-122.43624301699998,1,Castro Cultural District,08,POINT (-122.43624301699998 37.76048000800006),38,3,5,5,38
2004-2009,2011.14.8,"deSoto, Lewis",Collection of the City and County of San Francisco,"1934-1954-1982: Glen Wessel's Murals are Created, Lost and Rediscovered",,cotton thread tapestry,cotton thread tapestry,Laguna Honda Hospital,City Agency,Link Building Level 1,375 Laguna Honda Boulevad,94131,37.74879299500003,-122.45581098899999,0,,07,POINT (-122.45581098899999 37.74879299500003),49,7,8,38,49
2019,T2018.38,"Wilson, David",,"Winter/Spring, Standing in Claremont Canyon","96"" H X 156""W",Sumi ink,Sumi ink on kozo paper,Hotel,SFO,"Grand Hyatt, Level 2",55 S McDonnell Road,94128,37.61242625700004,-122.39374060299997,0,,,POINT (-122.39374060299997 37.61242625700004),,,,,
1934,1934.9,"Arnautoff, Victor Mikhail",Collection of the City and County of San Francisco; Commissioned by the Public Works of Art Project for Coit Tower,City Life,120 x 432 in.,Fresco,Fresco,Coit Tower,Public Display,1St Floor,1 Telegraph Hill Boulevard,94133,37.80231199100007,-122.40588401599994,0,,03,POINT (-122.40588401599994 37.80231199100007),18,6,3,23,18
2019,T2018.30a,"De Othello, Woody",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for San Francisco International Airport,Time,7ft x 4ft x 4ft,Bronze,Bronze,International Terminal,SFO,BA/G : Outdoor Terrace,,94128,37.620430000000056,-122.39916499999998,0,,,POINT (-122.39916499999998 37.620430000000056),,,,,
1974,1975.3,"Fuller (McChesney), Mary",Collection of the City and County of San Francisco; Purchased by the San Francisco Art Commission for the San Francisco General Hospital,Dos Liones,72  x 30  x 72 in.,Cast stone aggregate,Cast stone aggregate,San Francisco General Hospital,City Agency,Main Building Third Floor West Courtyard,1001 Portrero Avenue,94110,37.756327990000045,-122.40581696,0,,10,POINT (-122.40581696 37.756327990000045),54,3,9,20,54
1995,1995.8.1,"Heavenston, Martha",Collection of the City and County of San Francisco; Commissioned for the Tenderloin Recreation Center,Dancing in the Sea of Milk,74  x 62 1/2  x 31 in.,Ceramic tile and paint,Ceramic tile and paint on concrete form,Tenderloin Recreation Center,Public Display,Playground,570 Ellis Street,94109,37.78467198300007,-122.41559696499996,0,,06,POINT (-122.41559696499996 37.78467198300007),20,5,10,36,20
